Node	StartMoveTime
node10	12.0
node73	23.0
node70	15.0
node56	14.0
node24	16.0
node12	19.0
node31	24.0
node28	22.0
node98	22.0
node58	17.0
node50	15.0
node22	23.0
node66	17.0
node36	19.0
node9	16.0
node91	28.0
node40	13.0
node0	16.0
node23	16.0
node61	23.0
node19	21.0
node49	30.0
node59	31.0
node88	30.0
node65	18.0
node1	12.0
node8	21.0
node63	16.0
node46	26.0
node90	31.0
node67	19.0
node20	26.0
node26	12.0
node72	18.0
node92	26.0
node62	30.0
node33	17.0
node43	24.0
node71	17.0
node69	25.0
node78	25.0
node96	13.0
node52	27.0
node64	28.0
node48	18.0
node84	31.0
node86	28.0
node95	29.0
node41	25.0
node30	24.0
node25	28.0
node4	14.0
node21	15.0
node79	15.0
node2	30.0
node77	20.0
node3	18.0
node32	13.0
node29	26.0
node68	19.0
node14	23.0
node44	21.0
node51	27.0
node57	25.0
node85	12.0
node11	22.0
node89	24.0
node34	19.0
node5	15.0
node18	24.0
node15	25.0
node87	14.0
node83	13.0
node74	18.0
node82	14.0
node53	25.0
node76	30.0
node81	25.0
node60	14.0
node99	18.0
node7	22.0
node97	24.0
node27	29.0
node55	18.0
node38	29.0
node16	19.0
node75	25.0
node47	24.0
node93	14.0
node35	29.0
node13	16.0
node94	13.0
node37	29.0
node45	15.0
node6	25.0
node80	22.0
node42	16.0
node39	27.0
node54	26.0
node17	20.0
